order_id,order_date,order_status,payment_status,seller_id,item_id,line_item_id,title,quantity,line_item_price,order_total,delivery_cost,total_due_seller,currency
15-14040-72170,2026-01-02 17:51:24+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078445164415,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",2,19.98,17.98,0.0,14.59,USD
07-14053-41596,2026-01-02 23:04:38+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082584214407,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,8.0,USD
06-14057-64336,2026-01-03 17:05:32+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078401628106,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,8.18,USD
18-14048-06031,2026-01-05 10:45:58+00:00,FULFILLED,PAID,luxmielstore,226991664030,10081518864018,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,7.93,USD
13-14061-73523,2026-01-06 18:54:11+00:00,FULFILLED,PAID,luxmielstore,226991664030,10079861051813,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,7.95,USD
20-14052-42716,2026-01-06 22:03:12+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077571491520,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,7.96,USD
04-14080-22672,2026-01-08 02:50:49+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078188222804,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,7.95,USD
14-14088-68659,2026-01-13 10:19:42+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078727299614,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",2,29.98,26.98,0.0,22.49,USD
18-14102-64241,2026-01-17 20:55:16+00:00,FULFILLED,PAID,luxmielstore,226991664030,10081850225618,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,14.99,14.99,0.0,12.32,USD
18-14108-84149,2026-01-19 08:27:47+00:00,FULFILLED,PAID,luxmielstore,226991664030,10081889560418,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,14.99,14.99,0.0,12.32,USD
16-14115-75249,2026-01-20 03:12:35+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078910832416,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,14.99,14.99,0.0,12.32,USD
05-14165-39875,2026-01-27 20:05:55+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078331905105,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",3,44.97,38.22,0.0,31.57,USD
20-14166-47685,2026-02-01 23:05:00+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078227792720,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,13.99,13.99,0.0,11.47,USD
23-14164-96331,2026-02-02 14:18:49+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078459855023,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,13.99,13.99,0.0,11.47,USD
16-14209-43652,2026-02-10 04:20:55+00:00,FULFILLED,FULLY_REFUNDED,luxmielstore,226991664030,10079462192616,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,13.99,13.99,0.0,0.0,USD
03-14229-37930,2026-02-10 15:13:59+00:00,FULFILLED,PAID,luxmielstore,226991664030,10079348166203,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,12.74,12.74,0.0,10.19,USD
22-14438-82571,2026-04-04 05:14:37+00:00,FULFILLED,PAID,luxmielstore,226991664030,10080064475022,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,13.99,13.99,0.0,11.31,USD
05-14546-36484,2026-04-22 10:36:44+00:00,FULFILLED,PAID,luxmielstore,226991664030,10080514054405,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,8.18,USD
